bear.id,longitude,latitude
7,-148.9560232,62.65822022
57,-152.6228386,58.35064153
69,-144.9373967,62.38227011
75,-152.8484856,59.90122227
104,-143.2948156,61.07310753
108,-149.7111309,62.91604799
115,-151.8360626,67.98965499
116,-147.4334728,62.55425256
125,-157.3959041,60.21359887
135,-155.7482896,58.86457602
137,-144.2276242,67.17227434
162,-162.7295899,55.0163658
185,-133.7961803,56.86191481
208,-145.5892961,64.65146233
220,-153.2350343,65.92172317
226,-157.3319088,58.18146915
233,-132.5441177,57.20339433
239,-135.0910619,58.30577332
247,-134.5706543,58.40003793
282,-149.6503352,61.0451093
304,-143.3155646,64.06909066
330,-154.7243353,61.26593232
332,-134.3880176,57.65668926
334,-147.9829951,67.85004296
372,-161.6756048,67.15217706
382,-152.2889833,68.48159938
396,-133.0322118,57.40138488
429,-151.1026091,60.28931411
436,-133.6320026,56.78370586
440,-152.8017723,57.75453746
446,-153.5334736,60.03686376
453,-156.2319111,58.54948276
554,-133.1159038,57.24523734
557,-151.6407639,67.83211287
581,-137.6280315,59.08634218
682,-135.5490203,58.70340512
683,-153.9264479,61.49287049
690,-160.5228622,63.74115995
705,-165.1865314,64.84578905
781,-152.5344738,58.57734263
789,-133.8540746,58.2430993
807,-155.0071601,59.48641387
839,-141.0612022,61.64277287
859,-145.2825238,60.4879735
881,-166.2335995,65.14423292
911,-145.1654124,61.5567143
920,-158.1128699,56.93811373
948,-157.6071762,57.85116793
975,-152.9436109,57.3663916
1006,-149.3337614,61.11593353
1025,-153.9324965,61.50851556
1026,-141.3984393,63.89374163
1031,-154.5029978,57.13819861
1033,-147.1569734,68.28706244
1107,-155.7365158,57.69903825
1111,-154.2464378,58.28646225
1112,-153.0013931,65.38422819
1115,-158.1802454,69.49583368
1137,-146.6343412,61.94700414
1146,-149.2372818,61.70147991
1178,-155.1088191,58.86702014
1215,-151.8960646,68.02445852
1222,-151.4034594,61.0291231
1228,-154.3143725,57.01964265
1251,-134.2118604,58.82062856
1257,-145.6271198,62.09057501
1314,-148.2089518,62.96192129
1321,-145.0461756,66.05691314
1345,-146.9817002,68.14970915
1349,-151.8811658,59.26671063
1357,-148.6449555,67.59730007
1407,-142.2259905,62.88008798
1509,-135.2743065,59.23573597
1515,-155.4053515,58.94564302
1536,-142.6626483,63.45686922
1550,-143.9696428,61.76390971
1568,-149.8048013,62.71546026
1573,-146.3389757,64.37785157
